rule,name,value
ruler_389_r,average,3.0145
ruler_390_r,average,2.0195
ruler_391_r,average,2.0195
ruler_392_r,average,3.0145
ruler_393_r,average,3.0145
ruler_394_r,average,2.0195
ruler_395_r,average,3.0145
ruler_396_r,average,2.0195
ruler_397_r,average,2.0195
ruler_398_r,average,3.0145
ruler_399_r,average,3.0145
ruler_400_r,average,2.0195
ruler_401_r,average,3.0145
ruler_402_r,average,2.0195
ruler_403_r,average,3.0145
ruler_404_r,average,2.0195
ruler_405_r,average,2.0195
ruler_406_r,average,2.0195
ruler_407_r,average,3.0145
ruler_408_r,average,3.0145
ruler_409_r,average,3.0145
ruler_410_r,average,2.0195
ruler_411_r,average,3.0145
ruler_412_r,average,2.0195
ruler_413_r,average,2.0195
ruler_414_r,average,3.0145
ruler_415_r,average,3.0145
ruler_416_r,average,2.0195
ruler_417_r,average,3.0145
ruler_418_r,average,2.0195
ruler_419_r,average,2.0195
ruler_420_r,average,3.0145
ruler_421_r,average,3.0145
ruler_422_r,average,2.0195
ruler_423_r,average,3.0145
ruler_424_r,average,2.0195
ruler_425_r,average,3.0145
ruler_426_r,average,2.0195
ruler_427_r,average,3.0145
ruler_428_r,average,2.0195
ruler_429_r,average,3.0145
ruler_430_r,average,2.0195
ruler_431_r,average,3.0145
ruler_432_r,average,2.0195
ruler_433_r,average,3.0145
ruler_434_r,average,2.0195
ruler_435_r,average,3.0145
ruler_436_r,average,2.0195
ruler_437_r,average,3.0145
ruler_438_r,average,2.0195
ruler_439_r,average,2.0195
ruler_440_r,average,2.0195
ruler_441_r,average,2.0195
ruler_442_r,average,2.0195
ruler_443_r,average,3.0145
ruler_444_r,average,3.0145
ruler_445_r,average,3.0145
ruler_446_r,average,3.0145
ruler_447_r,average,3.0145
ruler_448_r,average,2.0195
ruler_449_r,average,2.0195
ruler_450_r,average,2.0195
ruler_451_r,average,3.0145
ruler_452_r,average,3.0145
ruler_453_r,average,3.0145
ruler_454_r,average,2.0195
ruler_455_r,average,3.0145
ruler_456_r,average,2.0195
ruler_457_r,average,3.0145
ruler_458_r,average,2.0195
ruler_459_r,average,3.0145
ruler_460_r,average,3.0145
ruler_461_r,average,3.0145
ruler_462_r,average,3.0145
ruler_463_r,average,2.0195
ruler_464_r,average,2.0195
ruler_465_r,average,2.0195
ruler_466_r,average,2.0195
ruler_467_r,average,3.0145
ruler_468_r,average,2.0195
ruler_469_r,average,3.0145
ruler_470_r,average,2.0195
ruler_471_r,average,3.0145
ruler_472_r,average,2.0195
ruler_473_r,average,3.0145
ruler_474_r,average,2.0195
ruler_475_r,average,3.0145
ruler_476_r,average,2.0195
ruler_477_r,average,3.0145
ruler_478_r,average,2.0195
ruler_479_r,average,3.0145
ruler_480_r,average,2.0195
ruler_481_r,average,3.0145
ruler_482_r,average,2.0195
ruler_483_r,average,3.0145
ruler_484_r,average,2.0195
ruler_485_r,average,3.0145
ruler_486_r,average,2.0195
ruler_487_r,average,2.0195
ruler_488_r,average,3.0145
ruler_489_r,average,3.0145
ruler_490_r,average,2.0195
ruler_491_r,average,3.0145
ruler_492_r,average,2.0195
ruler_493_r,average,3.0145
ruler_494_r,average,2.0195
ruler_495_r,average,2.0195
ruler_496_r,average,2.0195
ruler_497_r,average,2.0195
ruler_498_r,average,2.0195
ruler_499_r,average,3.0145
ruler_500_r,average,3.0145
ruler_501_r,average,3.0145
ruler_502_r,average,3.0145
ruler_503_r,average,3.0145
ruler_504_r,average,2.0195
ruler_505_r,average,3.0145
ruler_506_r,average,2.0195
ruler_507_r,average,3.0145
ruler_508_r,average,2.0195
ruler_509_r,average,3.0145
ruler_510_r,average,2.0195
ruler_511_r,average,3.0145
ruler_512_r,average,2.0195
ruler_513_r,average,3.0145
ruler_514_r,average,2.0195
ruler_515_r,average,3.0145
ruler_516_r,average,2.0195
ruler_517_r,average,3.0145
ruler_518_r,average,2.0195
ruler_519_r,average,3.0145
ruler_520_r,average,2.0195
ruler_521_r,average,2.0195
ruler_522_r,average,2.0195
ruler_523_r,average,3.0145
ruler_524_r,average,3.0145
ruler_525_r,average,3.0145
ruler_526_r,average,2.0195
ruler_527_r,average,3.0145
ruler_528_r,average,2.0195
ruler_529_r,average,3.0145
ruler_530_r,average,3.0204999999999997
ruler_531_r,average,3.0204999999999997
ruler_532_r,average,3.0204999999999997
ruler_533_lr,average,3.0204999999999997
ruler_533_lr-rev,average,3.0204999999999997
ruler_534_r,average,3.0204999999999997
ruler_535_r,average,3.0204999999999997
ruler_536_r,average,3.0204999999999997
ruler_537_r,average,3.0204999999999997
ruler_538_r,average,3.0204999999999997
ruler_539_r,average,3.0204999999999997
ruler_540_r,average,3.0204999999999997
ruler_541_r,average,3.0204999999999997
ruler_542_lr,average,3.0204999999999997
ruler_542_lr-rev,average,3.0204999999999997
ruler_543_lr,average,3.0204999999999997
ruler_543_lr-rev,average,3.0204999999999997
ruler_544_r,average,3.0204999999999997
ruler_545_lr,average,3.0204999999999997
ruler_545_lr-rev,average,3.0204999999999997
ruler_546_r,average,3.0204999999999997
ruler_547_r,average,3.0204999999999997
ruler_548_r,average,3.0204999999999997
ruler_549_lr,average,3.0204999999999997
ruler_549_lr-rev,average,3.0204999999999997
ruler_550_lr,average,3.0204999999999997
ruler_550_lr-rev,average,3.0204999999999997
ruler_551_lr,average,3.0204999999999997
ruler_551_lr-rev,average,3.0204999999999997
ruler_552_lr,average,3.0204999999999997
ruler_552_lr-rev,average,3.0204999999999997
ruler_553_lr,average,3.0204999999999997
ruler_553_lr-rev,average,3.0204999999999997
ruler_554_r,average,3.0204999999999997
ruler_555_r,average,3.0204999999999997
ruler_556_r,average,3.0204999999999997
ruler_557_r,average,3.0204999999999997
ruler_558_r,average,3.0204999999999997
ruler_559_r,average,3.0204999999999997
ruler_560_r,average,3.0204999999999997
ruler_561_r,average,3.0204999999999997
ruler_562_r,average,3.0204999999999997
ruler_563_lr,average,3.0204999999999997
ruler_563_lr-rev,average,3.0204999999999997
ruler_564_r,average,3.0204999999999997
ruler_565_r,average,3.0204999999999997
ruler_566_r,average,3.0204999999999997
ruler_567_r,average,3.0204999999999997
ruler_568_r,average,3.0204999999999997
ruler_569_r,average,3.0204999999999997
ruler_570_r,average,3.0204999999999997
ruler_571_r,average,3.0204999999999997
ruler_572_r,average,3.0204999999999997
ruler_573_r,average,3.0204999999999997
ruler_574_r,average,3.0204999999999997
ruler_575_r,average,3.0204999999999997
ruler_576_r,average,3.0204999999999997
ruler_577_r,average,3.0204999999999997
ruler_578_r,average,3.0204999999999997
ruler_579_r,average,3.0204999999999997
ruler_580_r,average,3.0204999999999997
ruler_581_r,average,3.0204999999999997
ruler_582_r,average,3.0204999999999997
ruler_583_r,average,3.0204999999999997
ruler_584_r,average,3.0204999999999997
ruler_585_r,average,3.0204999999999997
ruler_586_lr,average,3.0204999999999997
ruler_586_lr-rev,average,3.0204999999999997
ruler_587_lr,average,3.0204999999999997
ruler_587_lr-rev,average,3.0204999999999997
ruler_588_r,average,3.0204999999999997
ruler_589_r,average,3.0204999999999997
ruler_590_r,average,3.0204999999999997
ruler_591_lr,average,3.0204999999999997
